"state","city","bedroom","bath","acre_lot","house_size","price","price_in_K"
"Connecticut","Simsbury",3,2,0.12,1416,219900,220
"Connecticut","East Windsor",3,3,0.79,1885,369900,370
"Connecticut","Simsbury",3,2,0.78,1260,275000,275
"Connecticut","Barkhamsted",3,4,3.75,3482,539900,540
"Connecticut","Simsbury",3,3,0.91,1875,395000,395
"Connecticut","Enfield",3,1,0.32,1576,225000,225
"Connecticut","Enfield",3,2,0.12,1504,224900,225
"Connecticut","Granby",3,2,0.8,1574,324900,325
"Connecticut","Simsbury",4,3,0.57,2304,409000,409
"Connecticut","Barkhamsted",4,3,2.11,2626,569000,569
"Massachusetts","Longmeadow",3,2,0.17,2038,295000,295
"Connecticut","Enfield",3,2,0.29,1587,274900,275
"Connecticut","Enfield",3,2,0.12,1479,290000,290
"Connecticut","Enfield",3,2,0.22,1428,249900,250
"Connecticut","Windsor",4,3,0.46,1784,395000,395
"Connecticut","Windsor",3,3,1.03,1955,499900,500
"Connecticut","Simsbury",4,5,1.53,4715,799000,799
"Connecticut","Enfield",3,1,0.28,968,260000,260
"Connecticut","Enfield",3,2,0.29,1008,290000,290
"Connecticut","Winchester",5,2,0.28,2500,249500,250
"Connecticut","Windsor Locks",3,1,0.35,996,269900,270
"Connecticut","Enfield",3,2,0.56,1480,339999,340
"Connecticut","Enfield",6,2,0.24,2296,195000,195
"Connecticut","Suffield",5,4,3.4,3927,1350000,1350
"Connecticut","Enfield",3,2,0.14,1456,295000,295
"Connecticut","Winchester",3,1,0.25,1594,178200,178
"Massachusetts","Springfield",4,2,0.14,1648,269900,270
"Connecticut","Simsbury",4,2,0.41,1609,339900,340
"Massachusetts","Springfield",6,3,0.17,3056,279000,279
"Connecticut","East Granby",3,2,0.48,1470,279900,280
"Connecticut","Winchester",5,4,0.34,2526,269900,270
"Connecticut","Barkhamsted",3,3,2.7,1434,249500,250
"Connecticut","Suffield",4,3,4.52,3589,979900,980
"Connecticut","Winchester",5,4,8.12,3075,1175000,1175
"Massachusetts","Springfield",2,2,0.11,1224,225000,225
"Massachusetts","Westfield",3,1,0.11,1248,235000,235
"Massachusetts","Springfield",3,1,0.15,1080,227000,227
"Connecticut","Enfield",3,1,0.29,1008,2e+05,200
"Connecticut","Enfield",3,2,0.41,1200,324900,325
"Massachusetts","Pittsfield",4,2,0.2,1712,129900,130
"Massachusetts","Lanesborough",3,1,0.3,1750,2e+05,200
"Massachusetts","Adams",3,1,0.13,1642,115000,115
"Massachusetts","Hinsdale",2,1,0.22,706,249900,250
"Massachusetts","Dalton",4,5,25.99,4179,1395000,1395
"Massachusetts","Pittsfield",6,2,0.13,2060,169900,170
"Massachusetts","Pittsfield",6,3,0.17,2592,784900,785
"Massachusetts","Pittsfield",6,2,0.08,2554,784900,785
"Connecticut","Colebrook",2,1,5.95,952,199900,200
"Massachusetts","Springfield",4,2,0.12,1600,199900,200
"Connecticut","Windsor Locks",4,2,0.26,2320,209900,210
"Connecticut","Granby",4,2,0.92,1982,350000,350
"Connecticut","Winchester",3,2,2.59,1606,349900,350
"Connecticut","East Granby",3,2,0.34,1512,295000,295
"Connecticut","Windsor Locks",3,3,0.48,1708,335000,335
"Connecticut","Enfield",4,2,0.25,1464,260000,260
"Connecticut","Granby",4,5,2.03,3992,729900,730
"Massachusetts","Springfield",2,2,0.11,1240,209000,209
"Connecticut","Winchester",4,2,27.13,2033,680000,680
"Connecticut","Enfield",4,1,0.29,1512,280000,280
"Massachusetts","Great Barrington",3,3,0.19,1876,649000,649
"Connecticut","Winchester",3,2,0.26,1654,169000,169
"Connecticut","East Granby",4,3,1.4,4250,475000,475
"Massachusetts","Springfield",5,2,0.11,1892,179900,180
"Massachusetts","Great Barrington",4,3,1.74,2073,565000,565
"Connecticut","Suffield",3,2,0.35,1864,359800,360
"Massachusetts","West Springfield",5,4,0.5,5694,725000,725
"Connecticut","Suffield",3,3,0.64,1481,345000,345
"Massachusetts","Springfield",2,1,0.11,944,139900,140
"Massachusetts","Longmeadow",3,3,0.4,2397,339900,340
"Connecticut","Enfield",3,2,0.12,1056,209000,209
"Connecticut","Suffield",3,3,1.03,1310,375000,375
"Massachusetts","Springfield",6,3,0.15,3696,250000,250
"Massachusetts","Springfield",4,2,0.11,1806,250000,250
"Massachusetts","West Springfield",4,2,0.24,2002,349900,350
"Connecticut","Enfield",4,2,0.3,1819,284900,285
"Connecticut","Enfield",3,2,0.46,1469,329000,329
"Connecticut","Granby",4,3,1.94,3000,625000,625
"Massachusetts","Westfield",5,5,0.75,3213,749900,750
"Massachusetts","Springfield",3,1,0.14,1063,234900,235
"Massachusetts","Sandisfield",3,2,2,1504,349000,349
"Massachusetts","Springfield",3,2,0.12,1248,239900,240
"Connecticut","Barkhamsted",3,2,1.15,1440,299000,299
"Connecticut","Canton",3,3,1.8,1960,339900,340
"Massachusetts","Springfield",4,1,0.1,1848,223500,224
"Connecticut","Granby",3,3,0.69,1164,365000,365
"Massachusetts","Longmeadow",3,4,0.44,2025,394900,395
"Massachusetts","Westfield",4,4,0.37,2160,324900,325
"Connecticut","Suffield",4,2,0.59,2091,399700,400
"Connecticut","Enfield",3,2,0.46,1236,289900,290
"Connecticut","Suffield",4,3,0.79,2491,519900,520
"Massachusetts","Westfield",3,2,0.5,1688,329000,329
"Connecticut","Enfield",4,2,0.69,1974,375000,375
"Connecticut","Enfield",3,2,0.63,1308,269900,270
"Massachusetts","Longmeadow",4,2,0.58,1662,459900,460
"Connecticut","Norfolk",4,2,3.73,2650,695000,695
"Connecticut","Simsbury",2,1,0.53,722,2e+05,200
"Massachusetts","Sheffield",2,2,0.88,1193,139000,139
"Connecticut","Suffield",4,4,1.38,4089,827000,827
"Connecticut","Windsor Locks",3,2,0.76,1680,299900,300
"Massachusetts","Springfield",5,2,0.11,1634,269000,269
"Massachusetts","Springfield",3,2,0.11,1902,249900,250
"Massachusetts","Westfield",3,4,1.11,3577,539000,539
"Massachusetts","Tyringham",2,2,3.96,1716,589000,589
"Massachusetts","Westfield",5,3,0.59,2287,324900,325
"Massachusetts","Longmeadow",4,3,0.39,2584,529900,530
"Connecticut","Windsor Locks",2,2,0.28,947,247900,248
"Connecticut","Windsor Locks",3,1,0.22,1063,204900,205
"Connecticut","Enfield",3,1,0.34,1008,225000,225
"Massachusetts","Springfield",4,3,0.11,1728,265000,265
"Connecticut","Winchester",4,2,0.07,1334,199900,200
"Connecticut","Suffield",5,2,0.64,1894,445000,445
"Connecticut","Enfield",5,2,0.17,1980,289000,289
"Massachusetts","Longmeadow",4,3,0.39,3264,699900,700
"Connecticut","North Canaan",3,2,0.75,2219,420000,420
"Connecticut","Barkhamsted",3,3,3.1,2621,479900,480
"Connecticut","Suffield",3,3,1.35,3340,459900,460
"Connecticut","Enfield",3,2,0.73,972,224000,224
"Connecticut","Granby",4,4,2,2371,475000,475
"Connecticut","East Granby",3,2,1.36,1692,349900,350
"Connecticut","Enfield",3,2,0.18,1170,229900,230
"Massachusetts","West Springfield",3,1,0.21,1588,324900,325
"Connecticut","Norfolk",4,3,2.98,2755,985000,985
"Connecticut","Enfield",4,1,0.11,1260,199900,200
"Massachusetts","Otis",3,2,1.25,1792,409000,409
"Connecticut","Windsor Locks",4,2,0.48,960,269900,270
"Connecticut","Enfield",3,1,0.29,1008,239900,240
"Massachusetts","Longmeadow",3,2,0.41,1817,449900,450
"Connecticut","Suffield",3,2,2.85,2184,559000,559
"Massachusetts","Springfield",4,3,0.13,1625,235000,235
"Connecticut","Granby",3,1,0.62,1008,239900,240
"Connecticut","Simsbury",4,2,0.34,1226,319700,320
"Massachusetts","Westfield",4,1,0.65,2120,219900,220
"Massachusetts","Westfield",2,2,1,1341,237900,238
"Massachusetts","Springfield",4,2,0.11,1742,289900,290
"Massachusetts","Longmeadow",5,4,0.48,3657,825000,825
"Connecticut","Suffield",4,4,0.72,2736,629900,630
"Connecticut","Enfield",5,2,0.06,1824,229900,230
"Massachusetts","New Marlborough",3,5,298,4273,15500000,15500
"Connecticut","Windsor Locks",4,2,0.31,1584,199900,200
"Connecticut","Winchester",5,3,0.52,3117,299900,300
"Connecticut","Enfield",6,2,0.14,2676,166259,166
"Massachusetts","Springfield",4,2,0.14,1399,225000,225
"Massachusetts","Springfield",6,2,0.14,2508,190000,190
"Connecticut","Suffield",3,3,1.07,1630,419900,420
"Connecticut","Enfield",2,2,0.29,1056,199900,200
"Massachusetts","Russell",6,2,0.62,2520,250000,250
"Connecticut","Winchester",3,1,0.06,1063,139900,140
"Massachusetts","Springfield",4,3,0.12,1360,284999,285
"Connecticut","Enfield",4,2,0.22,1536,245000,245
"Connecticut","Enfield",4,2,0.19,1982,269900,270
"Massachusetts","Great Barrington",3,2,0.18,1634,529000,529
"Massachusetts","Longmeadow",4,4,0.62,2712,699900,700
"Massachusetts","North Adams",3,2,0.95,1200,179900,180
"Massachusetts","North Adams",3,2,0.37,1440,249000,249
"Massachusetts","North Adams",4,1,0.28,1357,185000,185
"Massachusetts","North Adams",3,2,0.14,1525,85000,85
"Massachusetts","Florida",4,3,2.5,2351,599000,599
"Massachusetts","North Adams",6,3,0.21,4742,450000,450
"Massachusetts","Hubbardston",3,2,4,2284,179500,180
"Massachusetts","Palmer",3,3,0.34,3390,480000,480
"Massachusetts","Ware",4,4,0.23,2145,180000,180
"Massachusetts","Wilbraham",3,4,1.4,4936,1249000,1249
"Massachusetts","Ware",4,2,0.08,1884,169900,170
"Massachusetts","Westminster",3,3,14.88,4342,899900,900
"Massachusetts","Palmer",3,3,1.2,2370,465000,465
"Massachusetts","Ware",5,4,0.16,4341,229900,230
"Massachusetts","Westminster",2,1,1.3,895,315000,315
"Massachusetts","Oakham",3,1,3.06,864,3e+05,300
"Massachusetts","Ware",4,2,0.05,3396,179999,180
"Massachusetts","Ware",4,2,0.35,1965,205000,205
"Massachusetts","Ware",4,1,0.85,1921,234900,235
"Massachusetts","West Brookfield",3,2,0.62,1650,329900,330
"Massachusetts","Palmer",4,2,0.15,1922,189000,189
"Massachusetts","Ware",4,2,3.25,2200,399000,399
"Massachusetts","Wilbraham",5,4,1.99,6011,1150000,1150
"Massachusetts","Wilbraham",4,3,0.9,2507,475000,475
"Massachusetts","West Brookfield",6,2,0.56,2976,289900,290
"Massachusetts","West Brookfield",3,3,0.14,2600,799900,800
"Massachusetts","North Brookfield",2,1,0.32,915,369900,370
"Connecticut","Plainville",3,3,0.15,2337,379900,380
"Connecticut","New Hartford",4,3,2.07,2500,549900,550
"Connecticut","Plainville",3,2,0.11,1284,159900,160
"Connecticut","Avon",4,5,2.02,5991,599900,600
